file,condition,key,bpm,title,seed,prompt,init_loop,init_path
038__matched__F#min_105__No_tE_VAYAS__seed123.wav,matched,F#min,105,No tE VAYAS,123,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav
039__offkey__F#min_105__No_tE_VAYAS__seed7.wav,offkey,F#min,105,No tE VAYAS,7,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,Cymatics - Oracle West Coast Melody Loop 6 - 102 BPM C Min Piano.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 6 - 102 BPM C Min Stems/Cymatics - Oracle West Coast Melody Loop 6 - 102 BPM C Min Piano.wav
040__offkey__F#min_105__No_tE_VAYAS__seed123.wav,offkey,F#min,105,No tE VAYAS,123,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,Cymatics - Oracle West Coast Melody Loop 6 - 102 BPM C Min Piano.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 6 - 102 BPM C Min Stems/Cymatics - Oracle West Coast Melody Loop 6 - 102 BPM C Min Piano.wav
041__noinit__F#min_105__No_tE_VAYAS__seed7.wav,noinit,F#min,105,No tE VAYAS,7,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,,
042__noinit__F#min_105__No_tE_VAYAS__seed123.wav,noinit,F#min,105,No tE VAYAS,123,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,,
043__matched__Gmin_170__Wants__seed7.wav,matched,Gmin,170,Wants,7,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_1/Dark/Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav
044__matched__Gmin_170__Wants__seed123.wav,matched,Gmin,170,Wants,123,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_1/Dark/Cymatics - Dragon Dark Loop - Power - 136 BPM G Min.wav
045__offkey__Gmin_170__Wants__seed7.wav,offkey,Gmin,170,Wants,7,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav
046__offkey__Gmin_170__Wants__seed123.wav,offkey,Gmin,170,Wants,123,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Drill - 150 BPM C# Min.wav
047__noinit__Gmin_170__Wants__seed7.wav,noinit,Gmin,170,Wants,7,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,,
048__noinit__Gmin_170__Wants__seed123.wav,noinit,Gmin,170,Wants,123,23. cKz! Wants Gmin 170 bpm @crushed_keyz @justryda_,,
049__matched__G#min_160__CAROUSEL__seed7.wav,matched,G#min,160,CAROUSEL,7,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,Cymatics - Dragon Orchestral Loop - Crossover - 150 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Crossover - 150 BPM G# Min.wav
050__matched__G#min_160__CAROUSEL__seed123.wav,matched,G#min,160,CAROUSEL,123,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,Cymatics - Dragon Orchestral Loop - Crossover - 150 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Orchestral/Cymatics - Dragon Orchestral Loop - Crossover - 150 BPM G# Min.wav
051__offkey__G#min_160__CAROUSEL__seed7.wav,offkey,G#min,160,CAROUSEL,7,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,Cymatics - Dragon Ethnic Loop - Street Lights - 160 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_2/Ethnic/Cymatics - Dragon Ethnic Loop - Street Lights - 160 BPM D Min.wav
052__offkey__G#min_160__CAROUSEL__seed123.wav,offkey,G#min,160,CAROUSEL,123,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,Cymatics - Dragon Ethnic Loop - Street Lights - 160 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_2/Ethnic/Cymatics - Dragon Ethnic Loop - Street Lights - 160 BPM D Min.wav
053__noinit__G#min_160__CAROUSEL__seed7.wav,noinit,G#min,160,CAROUSEL,7,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,,
054__noinit__G#min_160__CAROUSEL__seed123.wav,noinit,G#min,160,CAROUSEL,123,27. cKz! CAROUSEL G#min 160 bpm @crushed_keyz,,
